series|location|keywords|numpages|pages|booktitle|abstract|doi|url|address|publisher|isbn|year|title|author|type_publication|ID|articleno|month|journal|issn|number|volume|issue_date|note|edition|editor|Sourceid|SJR|SJR_Best_Quartile|H_index|Total_Docs_2020|Total_Docs_3years|Total_Refs|Total_Cites_3years|Citable_Docs_3years|Cites_Doc_2years|Ref_Doc|Country|Region|Coverage|Categories|Total_Cites|Journal_Impact_Factor|Eigenfactor_Score|id_title|id_issn
||Data processing, Data quality, Usage control, Argumentation reasoning, Data manufacturing, Case scenarios||52-61||Data-intensive environments enable us to capture information and knowledge about the physical surroundings, to optimise our resources, enjoy personalised services and gain unprecedented insights into our lives. However, to obtain these endeavours extracted from the data, this data should be generated, collected and the insight should be exploited. Following an argumentation reasoning approach for data processing and building on the theoretical background of data management, we highlight the importance of data sharing agreements (DSAs) and quality attributes for the proposed data processing mechanism. The proposed approach is taking into account the DSAs and usage policies as well as the quality attributes of the data, which were previously neglected compared to existing methods in the data processing and management field. Previous research provided techniques towards this direction; however, a more intensive research approach for processing techniques should be introduced for the future to enhance the value creation from the data and new strategies should be formed around this data generated daily from various devices and sources.|https://doi.org/10.1016/j.compind.2017.09.002|https://www.sciencedirect.com/science/article/pii/S016636151730338X||||2018|An argumentation reasoning approach for data processing|Erisa Karafili and Konstantina Spanaki and Emil C. Lupu|article|KARAFILI201852|||Computers in Industry|01663615||94|||||19080|1,432|Q1|100|115|323|6926|3165|319|9,96|60,23|Netherlands|Western Europe|1979-2020|Computer Science (miscellaneous) (Q1); Engineering (miscellaneous) (Q1)|6,018|7.635|0.00584|1878047|605146181
||Software engineering, artificial intelligence, AI-based systems, systematic mapping study|59|||AI-based systems are software systems with functionalities enabled by at least one AI component (e.g., for image-, speech-recognition, and autonomous driving). AI-based systems are becoming pervasive in society due to advances in AI. However, there is limited synthesized knowledge on Software Engineering (SE) approaches for building, operating, and maintaining AI-based systems. To collect and analyze state-of-the-art knowledge about SE for AI-based systems, we conducted a systematic mapping study. We considered 248 studies published between January 2010 and March 2020. SE for AI-based systems is an emerging research area, where more than 2/3 of the studies have been published since 2018. The most studied properties of AI-based systems are dependability and safety. We identified multiple SE approaches for AI-based systems, which we classified according to the SWEBOK areas. Studies related to software testing and software quality are very prevalent, while areas like software maintenance seem neglected. Data-related issues are the most recurrent challenges. Our results are valuable for: researchers, to quickly understand the state-of-the-art and learn which topics need more research; practitioners, to learn about the approaches and challenges that SE entails for AI-based systems; and, educators, to bridge the gap among SE and AI in their curricula.|10.1145/3487043|https://doi.org/10.1145/3487043|New York, NY, USA|Association for Computing Machinery||2022|Software Engineering for AI-Based Systems: A Survey|Mart\'{\i}nez-Fern\'{a}ndez, Silverio and Bogner, Justus and Franch, Xavier and Oriol, Marc and Siebert, Julien and Trendowicz, Adam and Vollmer, Anna Maria and Wagner, Stefan|article|10.1145/3487043|37e|apr|ACM Trans. Softw. Eng. Methodol.|1049331X|2|31|April 2022||||||||||||||||||||||3220488|1429302734
||||||The Handbook of Multimodal-Multisensor Interfaces provides the first authoritative resource on what has become the dominant paradigm for new computer interfaces---user input involving new media (speech, multi-touch, hand and body gestures, facial expressions, writing) embedded in multimodal-multisensor interfaces.This three-volume handbook is written by international experts and pioneers in the field. It provides a textbook, reference, and technology roadmap for professionals working in this and related areas.This third volume focuses on state-of-the-art multimodal language and dialogue processing, including semantic integration of modalities. The development of increasingly expressive embodied agents and robots has become an active test-bed for coordinating multimodal dialogue input and output, including processing of language and nonverbal communication. In addition, major application areas are featured for commercializing multimodal-multisensor systems, including automotive, robotic, manufacturing, machine translation, banking, communications, and others. These systems rely heavily on software tools, data resources, and international standards to facilitate their development. For insights into the future, emerging multimodal-multisensor technology trends are highlighted for medicine, robotics, interaction with smart spaces, and similar topics. Finally, this volume discusses the societal impact of more widespread adoption of these systems, such as privacy risks and how to mitigate them. The handbook chapters provide a number of walk-through examples of system design and processing, information on practical resources for developing and evaluating new systems, and terminology and tutorial support for mastering this emerging field. In the final section of this volume, experts exchange views on a timely and controversial challenge topic, and how they believe multimodal-multisensor interfaces need to be equipped to most effectively advance human performance during the next decade.||||Association for Computing Machinery and Morgan &amp; Claypool|9781970001754|2019|The Handbook of Multimodal-Multisensor Interfaces: Language Processing, Software, Commercialization, and Emerging Directions||book|10.1145/3233795||||||||||"\"Oviatt, Sharon and Schuller, Bj\"\"{o}rn and Cohen, Philip R. and Sonntag, Daniel and Potamianos, Gerasimos and Kr\\\"\"{u}ger, Antonio\""|||||||||||||||||||4121568|42
|||6|85–90||The data gluttony of AI is well known: Data fuels the artificial intelligence. Technologies that help to gather the needed data are then essential, among which the IoT. However, the deployment of IoT solutions raises significant challenges, especially regarding the resource and financial costs at stake. It is our view that mobile crowdsensing, aka phone sensing, has a major role to play because it potentially contributes massive data at a relatively low cost. Still, crowdsensing is useless, and even harmful, if the contributed data are not properly analyzed. This paper surveys our work on the development of systems facing this challenge, which also illustrates the virtuous circles of AI. We specifically focus on how intelligent crowdsensing middleware leverages on-device machine learning to enhance the reported physical observations. Keywords: Crowdsensing, Middleware, Online learning.|10.1145/3352020.3352033|https://doi.org/10.1145/3352020.3352033|New York, NY, USA|Association for Computing Machinery||2019|When the Power of the Crowd Meets the Intelligence of the Middleware: The Mobile Phone Sensing Case|Du, Yifan and Issarny, Val\'{e}rie and Sailhan, Fran\c{c}oise|article|10.1145/3352020.3352033||jul|SIGOPS Oper. Syst. Rev.|01635980|1|53|July 2019||||19829|0,180|Q4|104|7|36|371|58|33|2,23|53,00|United States|Northern America|1980-1991, 1993, 1996-2010, 2013-2017, 2019|Computer Networks and Communications (Q4); Hardware and Architecture (Q4); Information Systems (Q4)||||5065549|892607647
ArabWIC 2019|Rabat, Morocco||8||Proceedings of the ArabWIC 6th Annual International Conference Research Track|Deep learning has been very successful in the past decades, especially in Computer Vision and Speech Recognition fields. It has been also used successfully in the Natural Language Processing field because of the availability of an enormous amount of online text data, such as social networks and reviews websites, which have gained a lot of popularity and success in the past years. Sentiment Analysis is one of the hottest applications of Natural Language Processing (NLP). Many researchers have done excellent work on Sentiment Analysis for English language. However, the amount of work on Sentiment Analysis for Arabic language is, in comparison, very limited due to the complexity of the Arabic language's morphology and orthography. Unlike the English language, Arabic has many different dialects which makes Sentiment Analysis for Arabic more difficult and challenging, especially when working on data collected from social networks, which is known to be unstructured and noisy. Most of the work that has been done on Sentiment Analysis of Arabic language, focused on using lexicons and basic machine learning models. In addition, most of the work has been done on small datasets because of the limited number of the available annotated datasets for Arabic language. This paper proposes state-of-the-art research for Sentiment Analysis of Arabic microblogging using new techniques, and a sophisticated Arabic text data preprocessing.|10.1145/3333165.3333185|https://doi.org/10.1145/3333165.3333185|New York, NY, USA|Association for Computing Machinery|9781450360890|2019|Deep Learning for Sentiment Analysis of Arabic Text|Soufan, Ayah|inproceedings|10.1145/3333165.3333185|20||||||||||||||||||||||||||||5635341|42
||Data quality, Text mining, Science mapping, Data mining, Trend analysis||280-287||The analysis of the transformation and changes in scientific disciplines has always been a critical path for policymakers and researchers. The current study examines the changes in the research areas of data and information quality (DIQ). The aim of this study was to detect different types of changes occurring in the scientific areas including birth, death, growth, decline, merge, and splitting. A model has been developed for this data mining. To test the model, all DIQ articles published in online scientific citation indexing service or Web of Science (WOS) between 1970 and 2016 were extracted and analyzed using the given model. The study is related to the Big Data as well as the integration methods in Big Data which is the most important area in DIQ. It is demonstrated that the first and second emerging research areas are sub-disciplines of entity resolution and record linkage. Accordingly, linkage and privacy are the first emerging research area and the entity resolution using ontology is the second in DIQ. This is followed by the social media issues and genetic related DIQ issues.|https://doi.org/10.1016/j.techfore.2018.08.003|https://www.sciencedirect.com/science/article/pii/S0040162517318140||||2018|Systematic method for finding emergence research areas as data quality|Babak Sohrabi and Ahmad Khalilijafarabad|article|SOHRABI2018280|||Technological Forecasting and Social Change|00401625||137|||||14704|2,226|Q1|117|448|1099|35581|10127|1061|9,01|79,42|United States|Northern America|1970-2020|Applied Psychology (Q1); Business and International Management (Q1); Management of Technology and Innovation (Q1)|21,116|8.593|0.02416|7629008|1949868303
||Accounting profession, Cloud, Big data, Blockchain, Artificial intelligence||100833||This paper reviews the accounting literature that focuses on four Internet-related technologies that have the potential to dramatically change and disrupt the work of accountants and accounting researchers in the near future. These include cloud, big data, blockchain, and artificial intelligence (AI). For instance, access to distributed ledgers (blockchain) and big data supported by cloud-based analytics tools and AI will automate decision making to a large extent. These technologies may significantly improve financial visibility and allow more timely intervention due to the perpetual nature of accounting. However, given the number of tasks technology has relieved of accountants, these technologies may also lead to concerns about the profession's legitimacy. The findings suggest that scholars have not given sufficient attention to these technologies and how these technologies affect the everyday work of accountants. Research is urgently needed to understand the new kinds of accounting required to manage firms in the changing digital economy and to determine the new skills and competencies accountants may need to master to remain relevant and add value. The paper outlines a set of questions to guide future research.|https://doi.org/10.1016/j.bar.2019.04.002|https://www.sciencedirect.com/science/article/pii/S0890838919300459||||2019|The role of internet-related technologies in shaping the work of accountants: New directions for accounting research|Jodie Moll and Ogan Yigitbasioglu|article|MOLL2019100833|||The British Accounting Review|08908389|6|51||Innovative Governance and Sustainable Pathways in a Disruptive Environment|||||||||||||||||||||10822654|563989249
||Pro-environmental behavior, Internet of Things, Measurement, Big data, Environmental psychology||100055||Promoting pro-environmental behavior is an effective means of reducing carbon emissions at the individual end, but the measurement of behavior has long been a problem for scholars. Especially in environmental psychology community, the complexity of social policies and habitat implies greater difficulty in measuring. Due to the limitations of traditional questionnaire, laboratory, and naturalistic observation methods, environmental psychologists need more realistic, accurate, and cost-effective ways to measure behavior. The rapid development of IoT technology lights up the hope for achieving this goal, and its large-scale popularization will bring great changes to the research community. This paper reviews the current methods and their limitations, proposes a framework for measuring behavior using IoT devices, and points out its future research directions.|https://doi.org/10.1016/j.crbeha.2021.100055|https://www.sciencedirect.com/science/article/pii/S2666518221000425||||2021|Aiding pro-environmental behavior measurement by Internet of Things|Ziqian Xia and Yurong Liu|article|XIA2021100055|||Current Research in Behavioral Sciences|26665182||2|||||||||||||||||||||||10887472|385753943
PCI 2020|Athens, Greece|Intensive Care Unit, Big Data Analysis, Machine Learning, Conceptual Framework|5|411–415|24th Pan-Hellenic Conference on Informatics|"\"The development of Big Data Analytics (BDA) technology and the maturity of the Machine Learning (ML) sector offer great opportunities for applications in Intensive Care Units (ICUs). This paper describes a Conceptual Framework and proposes its use in designing architectures and big data applications in ICUs. The Conceptual Framework is based on BDA,MLNatural Language Processing (NLP) and consists of the following subsystems: The \"\"Big Data Integration and ICUs\"\" module, the \"\"ICUs and critical care services\"\" module, the \"\"Use of standards and ICUs\"\" module, the \"\"Machine Learning and ICUs\"\" module, and the “NLP and ICUs” module. The framework is developed using Soft System Methodology (SSM) and Design Science Research Methodology (DSRM).\""|10.1145/3437120.3437352|https://doi.org/10.1145/3437120.3437352|New York, NY, USA|Association for Computing Machinery|9781450388979|2021|Towards the Design of a Conceptual Framework for the Operation of Intensive Care Units Based on Big Data Analysis|Markopoulos, Dimitris and Tsolakidis, Anastasios and N. Karanikolas, Nikitas and Skourlas, Christos|inproceedings|10.1145/3437120.3437352|||||||||||||||||||||||||||||11196646|42
||encrypted traffic, crowdsourcing, QoE management, data analytics, SDN, NFV, QoE monitoring, QoE modeling, monitoring probes|29|||Quality of Experience (QoE) has received much attention over the past years and has become a prominent issue for delivering services and applications. A significant amount of research has been devoted to understanding, measuring, and modelling QoE for a variety of media services. The next logical step is to actively exploit that accumulated knowledge to improve and manage the quality of multimedia services, while at the same time ensuring efficient and cost-effective network operations. Moreover, with many different players involved in the end-to-end service delivery chain, identifying the root causes of QoE impairments and finding effective solutions for meeting the end users’ requirements and expectations in terms of service quality is a challenging and complex problem. In this article, we survey state-of-the-art findings and present emerging concepts and challenges related to managing QoE for networked multimedia services. Going beyond a number of previously published survey articles addressing the topic of QoE management, we address QoE management in the context of ongoing developments, such as the move to softwarized networks, the exploitation of big data analytics and machine learning, and the steady rise of new and immersive services (e.g., augmented and virtual reality). We address the implications of such paradigm shifts in terms of new approaches in QoE modeling and the need for novel QoE monitoring and management infrastructures.|10.1145/3176648|https://doi.org/10.1145/3176648|New York, NY, USA|Association for Computing Machinery||2018|A Survey of Emerging Concepts and Challenges for QoE Management of Multimedia Services|Skorin-Kapov, Lea and Varela, Mart\'{\i}n and Ho\ss{}feld, Tobias and Chen, Kuan-Ta|article|10.1145/3176648|29|may|ACM Trans. Multimedia Comput. Commun. Appl.|15516857|2s|14|April 2018||||||||||||||||||||||12017370|343492898
ICEGOV 2021|Athens, Greece|enablers, smart city, challenges, sustainable city|7|422–428|14th International Conference on Theory and Practice of Electronic Governance|The term Smart Sustainable City (SSC) has been gaining popularity due to the growth of initiatives to address urban problems towards sustainable development. SSC can be considered as a combination of sustainable city and smart city, and some variance between the concepts may be expected. As this is a modern term, the literature falls short of studies presenting factors that hinder and/or facilitate the complex phenomenon of SSC development. Therefore, this paper aims to analyse scientific studies to identify aspects that influence the progress of smart sustainable cities. The methodological approach undertaken was a systematic literature review that included 169 papers. The results offer a comprehensive list of 57 drivers and 63 barriers, classified according to five main dimensions of a smart sustainable city, which are the three sustainability pillars (society, environment, and economy), combined to governance, and urban infrastructure. The findings revealed ‘governance’ as the most significant domain for SSC development, and multistakeholder engagement as one of the main challenges. This study shows that SSC is not a research field itself, but an interdisciplinary concept, contributing to academics, government, and policymakers for eradicating potential interferences in the development of smart and sustainable cities.|10.1145/3494193.3494250|https://doi.org/10.1145/3494193.3494250|New York, NY, USA|Association for Computing Machinery|9781450390118|2022|Drivers and Barriers for the Development of Smart Sustainable Cities: A Systematic Literature Review|Schuch de Azambuja, Luiza|inproceedings|10.1145/3494193.3494250|||||||||||||||||||||||||||||12181613|42
IMMS 2021|Chengdu, China|management dilemma, Chinese hotel groups, technology platform, digital transformation|6|13–18|2021 4th International Conference on Information Management and Management Science|The digital economy has been a hot spot in social development in recent years, and all walks of life are facing the opportunities and challenges of digital transformation. Successful digital transformation can enable traditional industries to gain dynamic capabilities in a changing environment, thereby gaining a leading competitive advantage. The previous literature paid more attention to the digital transformation of traditional industries, but lacked enough attention to the hotel industry. Through the case analysis of several major hotel groups in China, this article has gained profound insights in the digital transformation, enriched the influence of digital technology on the organization and management changes of the hotel industry, and has enlightening significance for guiding the hotel industry's practice.|10.1145/3485190.3485193|https://doi.org/10.1145/3485190.3485193|New York, NY, USA|Association for Computing Machinery|9781450384278|2021|The Dilemma of Digital Transformation of China's Hotel Industry and the Construction of Technology Platform: A Survey of Hotels Industry in China|Li, Yonghan and Lv, Hongjiang|inproceedings|10.1145/3485190.3485193|||||||||||||||||||||||||||||12226975|42
||Data Quality, Enterprise Systems, Accounting Information Systems, ERP, SCM, CRM, Big Data||442-449||Organisations are facing ever more diverse challenges in managing their enterprise systems as emerging technologies bring both added complexities as well as opportunities to the way they conduct their business. Underpinning this ever-increasing volatility is the importance of having quality data to provide information to make those important enterprise-wide decisions. Numerous studies suggest that many organisations are not paying enough attention to their data and that a major cause of this is their failure to measure its quality and value and/or evaluate the costs of having poor data. This study proposes an integrated framework that organisations can adopt as part of their financial and management control processes to provide a mechanism for quantifying data problems, costing potential solutions and monitoring the on-going costs and benefits, to assist them in improving and then sustaining the quality of their data.|https://doi.org/10.1016/j.procs.2015.08.539|https://www.sciencedirect.com/science/article/pii/S1877050915026745||||2015|‘Accounting’ for Data Quality in Enterprise Systems|Tony O’Brien|article|OBRIEN2015442|||Procedia Computer Science|18770509||64||Conference on ENTERprise Information Systems/International Conference on Project MANagement/Conference on Health and Social Care Information Systems and Technologies, CENTERIS/ProjMAN / HCist 2015 October 7-9, 2015|||19700182801|0,334|-|76|1907|6483|38511|13722|6359|2,09|20,19|Netherlands|Western Europe|2010-2020|Computer Science (miscellaneous)||||14119165|2108686752
||education, co-design, big data, community engagement|4|41–44||University of Colorado Anschutz Medical Campus' Data Science to Patient Value Program and 2040 Partners for Health sought to create open learning materials for engaged citizens and community leaders regarding big data and big data methods to support their collaboration in patient-centered and participatorybased community research and evaluation. 2040 is a local nonprofit organization that cultivates partnerships in Aurora, Colorado neighborhoods to tackle critical health needs. Our goal was to co-design and co-create a series of big data learning modules accessible to community laypeople, so they might better understand big data topics and be empowered more actively engage in health research and evaluation that uses big data methods.|10.1145/3331651.3331659|https://doi.org/10.1145/3331651.3331659|New York, NY, USA|Association for Computing Machinery||2019|Co-Designing Learning Materials to Empower Laypersons to Better Understand Big Data and Big Data Methods|Schilling, Lisa M. and Pena-Jackson, Griselda and Russell, Seth and Corral, Janet and Kwan, Bethany and Ressalam, Julie|article|10.1145/3331651.3331659||may|SIGKDD Explor. Newsl.|19310145|1|21|June 2019||||||||||||||||||||||17261266|22833317
||Resource description framework;Medical diagnostic imaging;Medical services;Big data;Sensors;Biomedical monitoring;RDF;Medical Data;Map / Reduce;Joins||737-746|2015 IEEE International Conference on Big Data (Big Data)|Recent technological advances in modern healthcare have lead to the ability to collect a vast wealth of patient monitoring data. This data can be utilised for patient diagnosis but it also holds the potential for use within medical research. However, these datasets often contain errors which limit their value to medical research, with one study finding error rates ranging from 2.3%-26.9% in a selection of medical databases. Previous methods for automatically assessing data quality normally rely on threshold rules, which are often unable to correctly identify errors, as further complex domain knowledge is required. To combat this, a semantic web based framework has previously been developed to assess the quality of medical data. However, early work, based solely on traditional semantic web technologies, revealed they are either unable or inefficient at scaling to the vast volumes of medical data. In this paper we present a new method for storing and querying medical RDF datasets using Hadoop Map / Reduce. This approach exploits the inherent parallelism found within RDF datasets and queries, allowing us to scale with both dataset and system size. Unlike previous solutions, this framework uses highly optimised (SPARQL) joining strategies, intelligent data caching and the use of a super-query to enable the completion of eight distinct SPARQL lookups, comprising over eighty distinct joins, in only two Map / Reduce iterations. Results are presented comparing both the Jena and a previous Hadoop implementation demonstrating the superior performance of the new methodology. The new method is shown to be five times faster than Jena and twice as fast as the previous approach.|10.1109/BigData.2015.7363818|||||2015|Data quality assessment and anomaly detection via map/reduce and linked data: A case study in the medical domain|Bonner, Stephen and McGough, Andrew Stephen and Kureshi, Ibad and Brennan, John and Theodoropoulos, Georgios and Moss, Laura and Corsar, David and Antoniou, Grigoris|inproceedings|7363818||Oct|||||||||||||||||||||||||||17483129|42
||Customer services;Blockchain;Companies;Machine learning;Personnel;Data models;Smart contracts;Automated customer service;automated machine learning (AutoML);blockchain;open customer service||3642-3651||Customer service is transforming from traditional manual service toward automated service, which utilizes different computational informatics to achieve a higher efficient and quality services. Automated customer service requires big data and expertise in data analysis as prerequisites. However, many companies, especially small and medium enterprises, do not have sufficient data and experience due to their limited scale and resources. They need to rely on third parties, and this reliance results in the lack of development of core customer service competency. In order to overcome these challenges, an open and automated customer service platform based on Internet of things (IoT), blockchain, and automated machine learning (AutoML) is proposed. The data are gathered with the use of IoT devices during the customer service. An open but secured environment to achieve data trading is ensured by using blockchain. AutoML is adopted to automate the data analysis processes for reducing the reliance of costly experts. The proposed platform is analyzed through use case evaluation. A prototype system has also been developed and evaluated. The simulation results show that our platform is scalable and efficient.|10.1109/TII.2019.2900987|||||2019|A Blockchain and AutoML Approach for Open and Automated Customer Service|Li, Zhi and Guo, Hanyang and Wang, Wai Ming and Guan, Yijiang and Barenji, Ali Vatankhah and Huang, George Q. and McFall, Kevin S. and Chen, Xin|article|8649758||June|IEEE Transactions on Industrial Informatics|19410050|6|15|||||||||||||||||||||||20178983|75062013
